Course number ,Class name ,crn #,section,time ,professor,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,11617,G35,ARR,"Singer,N",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11618,G36,ARR,"Cochran,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11813,G37,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11848,G38,ARR,"Navarro,V",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7889,Laboratory of Practice,12005,G01,05:30 - 08:10 pm,"Wilkinson,G",
,,,,,"Granger,C",
,,,,,"Lewis Harris,J",
,,,,,"Song,K",
,,12006,G02,ARR,"Hassler,T",
,,,,,,
,,,,,,
,,14784,G03,05:00 - 07:40 pm,"Granger,C",
,,,,,"Sherman,H",
,,,,,"Hoagland,C",
,,,,,"Miller,K",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7950,Preparation for Writing the,11619,G01,05:30 - 08:10 pm,"Shymansky,J",
,Dissertation Proposal,,,,,
,Contact Laura Watt at wattl@umsl.edu,,,,,
,"with the course and section number,",,,,,
,copying the instructor on the e-mail,,,,,
,who will indicate that you are,,,,,
,eligible to enroll.,,,,,
,number will be e-mailed back to you,,,,,
7998,Dissertation in Practice Research,11925,G01,ARR,"Wilkinson,G",
,,,,,"Granger,C",
,,,,,"Lewis Harris,J",
,,,,,"Song,K",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,12007,G02,ARR,"Davis,M",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14682,G03,ARR,"Bredemeier,B",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14692,G04,ARR,"Bredemeier,B",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14785,G05,ARR,"Granger,C",
,,,,,"Sherman,H",
,,,,,"Hoagland,C",
,,,,,"Miller,K",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14954,G06,ARR,"Saul,E",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14971,G07,ARR,"Althof,W",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7999,Dissertation Research,11620,G01,ARR,"Berkowitz,M",
,Special Consent Form Required.,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11621,G02,,,
,,,,,,
 ,SESSION,CMP,DAY,BLDG/ROOM,,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,,Page 84,,,,
 ,SESSION,CMP,DAY,BLDG/ROOM,,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,,Page 85,,,,
 ,SESSION,CMP,DAY,BLDG/ROOM,,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,,Page 86,,,,
 ,SESSION,CMP,DAY,BLDG/ROOM,,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,,Page 87,,,,
 ,SESSION,CMP,DAY,BLDG/ROOM,,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,Regular,IND,ARR,ARR,,
,,Contact Laura Watt at wattl@umsl.edu with the,,,,
,,"course and section number, copying the instructor",,,,
,,on the e-mail who will indicate that you are,,,,
,,eligible to enroll.,The consent number will be,,,
,,e-mailed back to you.,,,,
,,College of Education Supplemental Fee Applies.,,,,
,,See Cashiers website for details.,,,,
,,Page 88,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,11861,G43,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11877,G44,ARR,"Lankford,E",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11889,G45,ARR,"Slapac,A",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11899,G46,ARR,"Hutchison,B",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Educational Administration,,,,,,
6205,Legal Contexts Of Education,15087,G01,06:30 - 09:00 pm,"Garry,V",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6301,Education Administration Policy,11656,G01,05:00 - 06:30 pm,"Shuls,J",
,Research,,,,,
,Contact Laura Watt at wattl@umsl.edu,,,,,
,"with the course and section number,",,,,,
,copying the instructor on the e-mail,,,,,
,who will indicate that you are,,,,,
,eligible to enroll.,,,,,
,number will be e-mailed back to you.,,,,,
6305,School District Administration,14754,G01,04:00 - 06:30 pm,"Garry,V",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,G01,04:00 - 06:25 pm,"Garry,V",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,,G01,04:00 - 06:30 pm,"Garry,V",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6402,School Personnel Administration,15390,G01,06:30 - 09:00 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6497,Problems,11661,G01,ARR,"Garry,V",
,Special Consent Form Required. Course,,,,,
,Outline Form Required prior to,,,,,
,"Registration, with student and",12001,G02,00:00 - 00:00 am,"Shuls,J",
,instructor signature. Contact Laura,,,,,
,Watt at wattl@umsl.edu with the,,,,,
,course number and discipline; section,,,,,
,number and attached course outline,,,,,
,with the proper signatures. The,,,,,
,consent number will then be e-mailed,,,,,
,to you.,,,,,
6701,Leadership for Equity,14756,G01,05:00 - 08:45 pm,"Shuls,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6702,Supervision of Instruction I,14755,G01,05:00 - 08:45 pm,"Corum,P",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6901,Elementary School Principal Field,15399,G01,ARR,"Hoerr,T",
,Experience,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6902,Secondary School Principal Field,15400,G01,ARR,"Hoerr,T",
,Experience,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6905,Private School Leadership Field,15401,G01,ARR,"Hoerr,T",
,Experience,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Educational Foundations,,,,,,
3251,Black Americans In Education,12036,1,04:30 - 07:00 pm,"Hassler,T",
,,,,,,
,,,,,,
6497,Problems,11664,G01,ARR,"Coble,T",
,Special Consent Form Required. Course,,,,,
,Outline Form Required Prior To,,,,,
,Registration.,,,,,
,Forms May Be Obtained In Room 269 MH.,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,14979,G02,ARR,"Davis,M",
,,,,,,
,,,,Forms May Be,,
,,,,,,
,,,,,,
,,,,,,
Educational Psychology,,,,,,
2212,Child and Adolescent Development,11665,1,11:00 - 12:15 pm,"Sullivan,B",
,,,,,,
,,,,,,
,,11666,2,09:30 - 12:00 pm,"Sullivan,B",
,,,,,,
,,,,,,
,,11667,E01,05:30 - 06:45 pm,"Johnson,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3312,"Psychology of Learning, Instruction,",11668,1,12:30 - 01:45 pm,"TBA,I",
,and Assessment,,,,,
,All Sections Require A Field,,,,,
,Experience. College of Education,11669,E01,05:30 - 08:10 pm,"TBA,I",
,Supplemental Fee Applies.,,,,,
,Cashiers website for details.,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6030,"Instruction, Learning And Assessment",11670,G01,05:30 - 08:10 pm,"Ruffus-Doerr,A",
,,,,,,
,,,,,,
,,11671,G02,05:30 - 08:10 pm,"Moritz,J",
,,,,,,
,,,,,,
6111,Psychology Of Education,11946,G01,05:30 - 08:10 pm,"Tennill,M",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6113,Psychopathology And Diagnosis,11672,G01,05:30 - 08:10 pm,"Kashubeck West,S",
,,,,,,
,,,,,,
,,,,,,
6210,Life-Span: Individual and Family,11673,G01,05:30 - 08:10 pm,"LaRosa,T",
,Development,,,,,
,,,,,,
6217,Foundations Of Citizenship Education,12055,G01,05:30 - 08:10 pm,"Althof,W",
,,,,,,
,,,,,,
6222,Advanced Studies in Child and,12019,G01,05:30 - 08:10 pm,"Fritz Hoerchler,T",
,Adolescent Development,,,,,
,,,,,,
,,12393,G02,ARR,"Fritz Hoerchler,T",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6445,Character Education And Development,11674,G01,05:30 - 08:10 pm,,
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
6497,Problems,11675,G01,ARR,"Althof,W",
,Special Consent Form Required. Course,,,,,
,Outline Form Required Prior to,,,,,
,Registration. Forms May Be Obtained,11676,G02,ARR,"Bahr,M",
,In Room 469 MH.,,,,,
,,,,,,
,,11677,G03,ARR,"Berkowitz,M",
,,,,,,
,,,,,,
,,11678,G04,ARR,"Bolton,N",
,,,,,,
,,,,,,
,,11679,G05,ARR,"Ding,C",
,,,,,,
,,,,,,
,,11680,G06,ARR,"Schumacher,M",
,,,,,,
,,,,,,
6530,Foundations Of School Psychology,11681,G01,04:15 - 06:55 pm,"Gouwens,D",
,,,,,,
,,,,,,
6532,Psychoeducational Differences,11682,G01,05:30 - 08:10 pm,"Schumacher,M",
,,,,,,
,,,,,,
6540,Psychoeducational Interventions,11954,G01,05:30 - 08:10 pm,"Bahr,M",
,,,,,,
,,,,,,
6545,Consultation In Schools And Related,11683,G01,07:00 - 09:40 pm,"Bahr,M",
,Settings,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6590,School Psychology Practicum I,11684,G01,02:50 - 05:20 pm,"Schumacher,M",
,,,,,,
,,,,,,
6598,School Psychology Internship I,11829,G01,04:00 - 05:30 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 05:30 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 06:00 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 06:00 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 05:30 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 05:30 pm,"Gouwens,D",
,,,,,,
,,,,,,
,,,G01,04:00 - 05:30 pm,"Gouwens,D",
,,,,,,
,,,,,,
6990,Internship,11685,G01,ARR,"Althof,W",
,Special Consent Form Required.,,,,,
,,,,,,
,,11686,G02,ARR,"Bahr,M",
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,11687,G03,ARR,"Berkowitz,M",
,,,,,,
,,,,,,
,,11688,G04,ARR,"Bolton,N",
,,,,,,
,,,,,,
,,11689,G05,ARR,"Ding,C",
,,,,,,
,,,,,,
,,12080,G06,ARR,"Schumacher,M",
,,,,,,
,,,,,,
,,,,,,
,,12081,G07,ARR,,
,,,,,,
,,,,,,
,,,,,,
Educational Technology,,,,,,
2230,Information Literacy,15239,G01,ARR,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3135,Technology for Educators,11964,1,ARR,"Ackermann,S",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4302,Educational Technology Instruction in,12029,1,ARR,"Holmes,K",
,Educational Agencies,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5340,Selection And Utilization Of,15241,G01,ARR,"Porterfield,M",
,Educational Multimedia,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6435,Instructional Technology And,15240,G01,ARR,"Hossain Mardi,F",
,Education Reform,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6436,Computer-Mediated Communication In,15242,G01,05:00 - 07:40 pm,"Burns,K",
,Education,,,,,
,,,,,,
,,,,,,
,,,,,,
6490,Internship,11702,G01,ARR,"Miller,K",
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
6497,Problems,11703,G01,ARR,"Hoagland,C",
,Special Consent Form Required. Course,,,,,
,Outline Form Required Prior To,,,,,
,Registration. Forms May Be Obtained,11704,G02,ARR,"Burns,K",
,In Room 369 MH.,,,,,
,,,,,,
,,11819,G03,ARR,"TBA,I",
,,,,,,
,,,,,,
Elementary Education,,,,,,
3338,Teaching Elementary Literacy in,11947,1,08:00 - 10:40 am,"Husbye,N",
,Inclusive Settings: Literacy,,,,,
,Assessment and Learning,,,,,
,,14340,C01,09:30 - 12:00 pm,"Halley,M",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,14342,W01,01:15 - 03:45 pm,"Halley,M",
,,,,,,
,,,,,,
,,,,,,
,,14533,J01,02:00 - 04:30 pm,"Smith,J",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3339,Teaching Elementary Literacy in,14497,1,01:10 - 04:30 pm,"Husbye,N",
,Inclusive Settings:,,,,,
,Instruction and Learning,,,,,
,,,,,,
,,,,,,
4246,Teaching Elementary Mathematics in,11705,1,02:00 - 04:40 pm,"Candela,A",
,Inclusive Settings I,,,,,
,,,,,,
,,,,,,
,,,,,,
,,11815,W01,09:00 - 11:30 am,"Frick,D",
,,,,Meets first 8 weeks,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,12612,C01,12:15 - 02:45 pm,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,CLASS#,SEC,TIME,INSTRUCTOR,
_______________________________________________________________________________________________________________________________________________________________________,,,,,,
,,12613,J01,08:30 - 11:00 am,"TBA,I",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4253,Teaching Elementary Social Studies in,11707,1,11:00 - 01:40 pm,"TBA,I",
